"kode","uraian"
"5.1.02.02.001.00018","Belanja Jasa Tenaga Pemadam Kebakaran dan Penyelamatan"
"5.1.02.02.001.00019","Belanja Jasa Tenaga Penanganan Bencana"
"5.1.02.02.001.00020","Belanja Jasa Tenaga Penanganan Sosial"
"5.1.02.02.001.00021","Belanja Jasa Tenaga Sumber Daya Air"
"5.1.02.02.001.00022","Belanja Jasa Tenaga Perhubungan"
"5.1.02.02.001.00023","Belanja Jasa Tenaga Teknis Pertanian dan Pangan"
"5.1.02.02.001.00025","Belanja Jasa Tenaga Kesenian dan Kebudayaan"
"5.1.02.02.001.00026","Belanja Jasa Tenaga Administrasi"
"5.1.02.02.001.00027","Belanja Jasa Tenaga Operator Komputer"
"5.1.02.02.001.00028","Belanja Jasa Tenaga Pelayanan Umum"
"5.1.02.02.001.00029","Belanja Jasa Tenaga Ahli"
"5.1.02.02.001.00030","Belanja Jasa Tenaga Kebersihan"
"5.1.02.02.001.00031","Belanja Jasa Tenaga Keamanan"
"5.1.02.02.001.00033","Belanja Jasa Tenaga Supir"
"5.1.02.02.001.00035","Belanja Jasa Tenaga Teknisi Mekanik dan Listrik"
"5.1.02.02.001.00037","Belanja Jasa Juri Perlombaan/Pertandingan"
"5.1.02.02.001.00038","Belanja Jasa Tata Rias"
"5.1.02.02.001.00046","Belanja Jasa Konversi Aplikasi/Sistem Informasi"
"5.1.02.02.001.00047","Belanja Jasa Penyelenggaraan Acara"
"5.1.02.02.001.00048","Belanja Jasa Kontribusi Asosiasi"
"5.1.02.02.001.00050","Belanja Jasa Kalibrasi"
"5.1.02.02.001.00053","Belanja Jasa Pengukuran Tanah"
"5.1.02.02.001.00055","Belanja Jasa Iklan/Reklame, Film, dan Pemotretan"
"5.1.02.02.001.00059","Belanja Tagihan Telepon"
"5.1.02.02.001.00060","Belanja Tagihan Air"
"5.1.02.02.001.00061","Belanja Tagihan Listrik"
"5.1.02.02.001.00063","Belanja Kawat/Faksimili/Internet/TV Berlangganan"
"5.1.02.02.001.00064","Belanja Paket/Pengiriman"
"5.1.02.02.001.00067","Belanja Pembayaran Pajak, Bea, dan Perizinan"
"5.1.02.02.001.00071","Belanja Lembur"
"5.1.02.02.001.00073","Belanja Medical Check Up"
"5.1.02.02.001.00080","Belanja Honorarium Penanggungjawaban Pengelola Keuangan"
"5.1.02.02.001.00082","Belanja Honorarium Perangkat Unit Kerja Pengadaan Barang dan Jasa (UKPBJ)"
"5.1.02.02.001.00083","Belanja jasa Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) Paruh Waktu pada jabatan guru"
"5.1.02.02.001.00085","Belanja jasa Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) Paruh Waktu pada jabatan tenaga kesehatan"
"5.1.02.02.001.00086","Belanja jasa Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) Paruh Waktu pada jabatan tenaga teknis"
"5.1.02.02.002","Belanja Iuran Jaminan/Asuransi"
"5.1.02.02.002.00001","Belanja Iuran Jaminan Kesehatan bagi Kepala Desa dan Perangkat Desa"
"5.1.02.02.002.00003","Belanja Iuran Jaminan Kesehatan bagi Peserta PBPU dan BP Kelas 3"
"5.1.02.02.002.00004","Belanja Bantuan Iuran Jaminan Kesehatan bagi Peserta PBPU dan BP Kelas 3"
"5.1.02.02.002.00005","Belanja Iuran Jaminan Kesehatan bagi Non ASN"
"5.1.02.02.004","Belanja Sewa Peralatan dan Mesin"
"5.1.02.02.004.00036","Belanja Sewa Kendaraan Bermotor Penumpang"
"5.1.02.02.004.00037","Belanja Sewa Kendaraan Bermotor Angkutan Barang"
"5.1.02.02.004.00117","Belanja Sewa Alat Kantor Lainnya"
"5.1.02.02.004.00118","Belanja Sewa Mebel"
"5.1.02.02.004.00123","Belanja Sewa Alat Rumah Tangga Lainnya (Home Use)"
"5.1.02.02.004.00137","Belanja Sewa Alat Studio Lainnya"
"5.1.02.02.004.00404","Belanja Sewa Komputer Jaringan"
"5.1.02.02.005","Belanja Sewa Gedung dan Bangunan"
"5.1.02.02.005.00007","Belanja Sewa Bangunan Oseanarium/Observatorium"
"5.1.02.02.005.00009","Belanja Sewa Bangunan Gedung Tempat Pertemuan"
"5.1.02.02.005.00010","Belanja Sewa Bangunan Gedung Tempat Pendidikan"
"5.1.02.02.005.00043","Belanja Sewa Hotel"
"5.1.02.02.005.00050","Belanja Sewa Bangunan Gedung Tempat Tinggal Lainnya"
"5.1.02.02.012","Belanja Kursus/Pelatihan, Sosialisasi, Bimbingan Teknis serta Pendidikan dan Pelatihan"
"5.1.02.02.012.00001","Belanja Kursus Singkat/Pelatihan"
"5.1.02.02.012.00002","Belanja Sosialisasi"
"5.1.02.02.018","Belanja Jasa Kerja Sama Pemungutan Retribusi Daerah"
"5.1.02.02.018.00001","Belanja Jasa Kerja Sama Pemungutan Retribusi Jasa Umum-Pelayanan Kesehatan di Puskesmas"
"5.1.02.03","Belanja Pemeliharaan"
"5.1.02.03.002","Belanja Pemeliharaan Peralatan dan Mesin"
"5.1.02.03.002.00003","Belanja Pemeliharaan Alat Besar-Alat Besar Darat-Excavator"
"5.1.02.03.002.00010","Belanja Pemeliharaan Alat Besar-Alat Besar Darat-Alat Pengangkat"
"5.1.02.03.002.00034","Belanja Pemeliharaan Alat Besar-Alat Bantu-Alat Bantu Lainnya"
"5.1.02.03.002.00036","Belanja Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Bermotor Penumpang"
"5.1.02.03.002.00117","Belanja Pemeliharaan Alat Kantor dan Rumah Tangga-Alat Kantor-Alat Kantor Lainnya"
"5.1.02.03.002.00347","Belanja Pemeliharaan Alat Laboratorium-Alat Laboratorium Lingkungan Hidup-Laboratorium Lingkungan"
"5.1.02.03.003","Belanja Pemeliharaan Gedung dan Bangunan"
"5.1.02.03.003.00001","Belanja Pemeliharaan Bangunan Gedung-Bangunan Gedung Tempat Kerja-Bangunan Gedung Kantor"
"5.1.02.03.003.00005","Belanja Pemeliharaan Bangunan Gedung-Bangunan Gedung Tempat Kerja-Bangunan Gedung Laboratorium"
"5.1.02.03.003.00032","Belanja Pemeliharaan Bangunan Gedung-Bangunan Gedung Tempat Kerja-Bangunan Fasilitas Umum"
"5.1.02.03.004","Belanja Pemeliharaan Jalan, Jaringan, dan Irigasi"
"5.1.02.03.004.00004","Belanja Pemeliharaan Jalan dan Jembatan-Jalan-Jalan Kota"
"5.1.02.03.004.00005","Belanja Pemeliharaan Jalan dan Jembatan-Jalan-Jalan Desa"
"5.1.02.03.004.00014","Belanja Pemeliharaan Jalan dan
Jembatan-Jembatan-Jembatan pada Jalan Kota"
"5.1.02.03.004.00026","Belanja Pemeliharaan Bangunan Air-Bangunan Air Irigasi-Bangunan Pembawa Irigasi"
"5.1.02.03.004.00048","Belanja Pemeliharaan Bangunan Air-Bangunan Pengaman Sungai/Pantai dan Penanggulangan Bencana Alam-Bangunan Pengaman Sungai/Pantai dan Penanggulangan Bencana Alam"
"5.1.02.03.004.00051","Belanja Pemeliharaan Bangunan Air-Bangunan Pengaman Sungai/Pantai dan Penanggulangan Bencana Alam-Bangunan Pembuang Pengaman Sungai"
"5.1.02.03.004.00083","Belanja Pemeliharaan Instalasi-Instalasi Air Kotor-Instalasi Air Kotor Lainnya"
"5.1.02.04","Belanja Perjalanan Dinas"
"5.1.02.04.001","Belanja Perjalanan Dinas Dalam Negeri"
"5.1.02.04.001.00001","Belanja Perjalanan Dinas Biasa"
"5.1.02.04.001.00003","Belanja Perjalanan Dinas Dalam Kota"
"5.1.02.04.001.00004","Belanja Perjalanan Dinas Paket Meeting Dalam Kota"
"5.1.02.05","Belanja Uang dan/atau Jasa untuk Diberikan kepada Pihak Ketiga/Pihak Lain/Masyarakat"
"5.1.02.05.001","Belanja Uang yang Diberikan kepada Pihak Ketiga/Pihak Lain/Masyarakat"
"5.1.02.05.001.00001","Belanja Hadiah yang Bersifat Perlombaan"
"5.1.02.05.001.00002","Belanja Penghargaan atas Suatu Prestasi"
"5.1.02.05.001.00003","Belanja Beasiswa"
"5.1.02.05.001.00008","Belanja Uang yang Diberikan kepada RT atau dengan Sebutan Lain"
"5.1.02.05.001.00009","Belanja Uang yang Diberikan kepada RW atau dengan Sebutan Lain"
"5.1.02.05.001.00011","Belanja Uang yang Diberikan kepada Lembaga Pemberdayaan Masyarakat"
"5.1.02.05.001.00012","Belanja Uang yang Diberikan kepada Posyandu"
"5.1.02.05.002","Belanja Jasa yang Diberikan kepada Pihak Ketiga/Pihak Lain/Masyarakat"
"5.1.02.05.002.00001","Belanja Jasa yang Diberikan kepada Pihak Ketiga/Pihak Lain"
"5.1.02.05.002.00002","Belanja Jasa yang Diberikan kepada Masyarakat"
"5.1.02.89","Belanja Barang dan Jasa BOSP"
"5.1.02.89.001","Belanja Barang dan Jasa BOSP-BOS"
"5.1.02.89.001.00001","Belanja Barang dan Jasa BOSP-BOS Reguler"
"5.1.02.89.001.00002","Belanja Barang dan Jasa BOSP-BOS Kinerja"
"5.1.02.89.002","Belanja Barang dan Jasa BOSP-BOP PAUD"
"5.1.02.89.002.00001","Belanja Barang dan Jasa BOSP-BOP PAUD Reguler"
"5.1.02.89.003","Belanja Barang dan Jasa BOSP-BOP Kesetaraan"
"5.1.02.89.003.00002","Belanja Barang dan Jasa BOSP-BOP Kesetaraan Kinerja"
"5.1.02.99","Belanja Barang dan Jasa BLUD"
"5.1.02.99.099","Belanja Barang dan Jasa BLUD"
"5.1.02.99.099.09999","Belanja Barang dan Jasa BLUD"
"5.1.05","Belanja Hibah"
"5.1.05.05","Belanja Hibah kepada Badan, Lembaga, Organisasi Kemasyarakatan yang Berbadan Hukum Indonesia"
"5.1.05.05.001","Belanja Hibah kepada Badan dan Lembaga yang Bersifat Nirlaba, Sukarela dan Sosial yang Dibentuk Berdasarkan Peraturan
Perundang-Undangan"
"5.1.05.05.001.00001","Belanja Hibah Uang kepada Badan dan Lembaga yang Bersifat Nirlaba, Sukarela dan Sosial yang Dibentuk Berdasarkan Peraturan
Perundang-Undangan"
"5.1.05.07","Belanja Hibah Bantuan Keuangan kepada Partai Politik"
"5.1.05.07.001","Belanja Hibah Bantuan Keuangan kepada Partai Politik"
"5.1.05.07.001.00001","Belanja Hibah berupa Bantuan Keuangan kepada Partai Politik"
"5.1.05.08","Belanja Hibah Dana BOSP"
"5.1.05.08.001","Belanja Hibah Dana BOSP-BOS"
"5.1.05.08.001.00001","Belanja Hibah Dana BOSP-BOS"
"5.1.05.08.002","Belanja Hibah Dana BOSP-BOP PAUD"
"5.1.05.08.002.00001","Belanja Hibah Dana BOSP-BOP PAUD"
"5.1.05.08.003","Belanja Hibah Dana BOSP-BOP Kesetaraan"
"5.1.05.08.003.00001","Belanja Hibah Dana BOSP-BOP Kesetaraan"
"5.1.06","Belanja Bantuan Sosial"
"5.1.06.04","Belanja Bantuan Sosial kepada Lembaga Non Pemerintahan (Bidang Pendidikan, Keagamaan dan Bidang Lainnya)"
"5.1.06.04.001","Belanja Bantuan Sosial Uang yang direncanakan kepada Lembaga Non Pemerintahan (Bidang Pendidikan, Keagamaan dan Bidang Lainnya)"
"5.1.06.04.001.00001","Belanja Bantuan Sosial Uang yang Direncanakan kepada Lembaga Non Pemerintahan (Bidang Pendidikan, Keagamaan dan Bidang Lainnya)"
"5.2","BELANJA MODAL"
"5.2.01","Belanja Modal Tanah"
"5.2.01.01","Belanja Modal Tanah"
"5.2.01.01.001","Belanja Modal Tanah Persil"
"5.2.01.01.001.00007","Belanja Modal Tanah Persil Lainnya"
"5.2.02","Belanja Modal Peralatan dan Mesin"
"5.2.02.01","Belanja Modal Alat Besar"
"5.2.02.01.003","Belanja Modal Alat Bantu"
"5.2.02.01.003.00005","Belanja Modal Pompa"
"5.2.02.02","Belanja Modal Alat Angkutan"
"5.2.02.02.002","Belanja Modal Alat Angkutan Darat Tak Bermotor"
"5.2.02.02.002.00004","Belanja Modal Alat Angkutan Darat Tak Bemotor Lainnya"
"5.2.02.03","Belanja Modal Alat Bengkel dan Alat Ukur"
"5.2.02.03.001","Belanja Modal Alat Bengkel Bermesin"
"5.2.02.03.001.00010","Belanja Modal Alat Bengkel Bermesin Lainnya"
"5.2.02.03.003","Belanja Modal Alat Ukur"
"5.2.02.03.003.00010","Belanja Modal Alat Timbangan/Biara"
"5.2.02.05","Belanja Modal Alat Kantor dan Rumah Tangga"
"5.2.02.05.001","Belanja Modal Alat Kantor"
"5.2.02.05.001.00005","Belanja Modal Alat Kantor Lainnya"
"5.2.02.05.002","Belanja Modal Alat Rumah Tangga"
"5.2.02.05.002.00001","Belanja Modal Mebel"
"5.2.02.05.002.00003","Belanja Modal Alat Pembersih"
"5.2.02.05.002.00004","Belanja Modal Alat Pendingin"
"5.2.02.05.002.00006","Belanja Modal Alat Rumah Tangga Lainnya (Home Use)"
"5.2.02.05.003","Belanja Modal Meja dan Kursi Kerja/Rapat Pejabat"
"5.2.02.05.003.00001","Belanja Modal Meja Kerja Pejabat"
"5.2.02.05.003.00003","Belanja Modal Kursi Kerja Pejabat"
"5.2.02.05.003.00004","Belanja Modal Kursi Rapat Pejabat"
"5.2.02.05.003.00006","Belanja Modal Kursi Tamu di Ruangan Pejabat"
"5.2.02.05.003.00007","Belanja Modal Lemari dan Arsip Pejabat"
"5.2.02.06","Belanja Modal Alat Studio, Komunikasi, dan Pemancar"
"5.2.02.06.001","Belanja Modal Alat Studio"
"5.2.02.06.001.00001","Belanja Modal Peralatan Studio Audio"
"5.2.02.06.001.00002","Belanja Modal Peralatan Studio Video dan Film"
"5.2.02.06.001.00004","Belanja Modal Peralatan Cetak"
"5.2.02.06.001.00006","Belanja Modal Alat Studio Lainnya"
"5.2.02.06.002","Belanja Modal Alat Komunikasi"
"5.2.02.06.002.00001","Belanja Modal Alat Komunikasi Telephone"
"5.2.02.07","Belanja Modal Alat Kedokteran dan Kesehatan"
"5.2.02.07.002","Belanja Modal Alat Kesehatan Umum"
"5.2.02.07.002.00005","Belanja Modal Alat Kesehatan Umum Lainnya"
"5.2.02.10","Belanja Modal Komputer"
"5.2.02.10.001","Belanja Modal Komputer Unit"
"5.2.02.10.001.00002","Belanja Modal Personal Computer"
"5.2.02.10.001.00003","Belanja Modal Komputer Unit Lainnya"
"5.2.02.10.002","Belanja Modal Peralatan Komputer"
"5.2.02.10.002.00005","Belanja Modal Peralatan Komputer Lainnya"
"5.2.02.18","Belanja Modal Rambu-Rambu"
"5.2.02.18.001","Belanja Modal Rambu-Rambu Lalu Lintas Darat"
"5.2.02.18.001.00001","Belanja Modal Rambu Bersuar"
"5.2.02.19","Belanja Modal Peralatan Olahraga"
"5.2.02.19.001","Belanja Modal Peralatan Olahraga"
"5.2.02.19.001.00002","Belanja Modal Peralatan Permainan"
"5.2.02.99","Belanja Modal Peralatan dan Mesin BLUD"
"5.2.02.99.099","Belanja Modal Peralatan dan Mesin BLUD"
"5.2.02.99.099.09999","Belanja Modal Peralatan dan Mesin BLUD"
"5.2.03","Belanja Modal Gedung dan Bangunan"
"5.2.03.01","Belanja Modal Bangunan Gedung"
"5.2.03.01.001","Belanja Modal Bangunan Gedung Tempat Kerja"
"5.2.03.01.001.00001","Belanja Modal Bangunan Gedung Kantor"
"5.2.03.01.001.00006","Belanja Modal Bangunan Kesehatan"
"5.2.03.01.001.00010","Belanja Modal Bangunan Gedung Tempat Pendidikan"
"5.2.03.99","Belanja Modal Gedung dan Bangunan BLUD"
"5.2.03.99.099","Belanja Modal Gedung dan Bangunan BLUD"
"5.2.03.99.099.09999","Belanja Modal Gedung dan Bangunan BLUD"
"5.2.04","Belanja Modal Jalan, Jaringan, dan Irigasi"
"5.2.04.01","Belanja Modal Jalan dan Jembatan"
"5.2.04.01.001","Belanja Modal Jalan"
"5.2.04.01.001.00004","Belanja Modal Jalan Kota"
"5.2.04.01.001.00005","Belanja Modal Jalan Desa"
"5.2.04.01.002","Belanja Modal Jembatan"
"5.2.04.01.002.00004","Belanja Modal Jembatan pada Jalan Kota"
"5.2.04.02","Belanja Modal Bangunan Air"
"5.2.04.02.001","Belanja Modal Bangunan Air Irigasi"
"5.2.04.02.001.00003","Belanja Modal Bangunan Pembawa Irigasi"
"5.2.04.02.004","Belanja Modal Bangunan Pengaman Sungai/Pantai dan Penanggulangan Bencana Alam"
"5.2.04.02.004.00004","Belanja Modal Bangunan Pembuang Pengaman Sungai"
"5.2.04.02.004.00005","Belanja Modal Bangunan Pengaman Pengamanan Sungai/Pantai"
"5.2.05","Belanja Modal Aset Tetap Lainnya"
"5.2.05.07","Belanja Modal Aset Tetap Dalam Renovasi"
"5.2.05.07.001","Belanja Modal Aset Tetap Dalam Renovasi"
"5.2.05.07.001.00001","Belanja Modal Aset Tetap Dalam Renovasi"
"5.2.05.89","Belanja Modal Aset Tetap Lainnya BOSP"
"5.2.05.89.001","Belanja Modal Aset Tetap Lainnya BOSP-BOS"
"5.2.05.89.001.00001","Belanja Modal Aset Tetap Lainnya BOSP-BOS Reguler"
"5.2.06","Belanja Modal Aset Lainnya"
"5.2.06.99","Belanja Modal Aset Lainnya BLUD"
"5.2.06.99.099","Belanja Modal Aset Lainnya BLUD"
"5.2.06.99.099.09999","Belanja Modal Aset Lainnya BLUD"
"5.3","BELANJA TIDAK TERDUGA"
"5.3.01","Belanja Tidak Terduga"
"5.3.01.01","Belanja Tidak Terduga"
"5.3.01.01.001","Belanja Tidak Terduga"
"5.3.01.01.001.00001","Belanja Tidak Terduga"
"5.4","BELANJA TRANSFER"
"5.4.01","Belanja Bagi Hasil"
"5.4.01.02","Belanja Bagi Hasil Retribusi Daerah Kabupaten/Kota Kepada Pemerintah Desa"
"5.4.01.02.001","Belanja Bagi Hasil Retribusi Daerah Kabupaten/Kota Kepada Pemerintah Desa"
"5.4.01.02.001.00001","Belanja Bagi Hasil Retribusi Daerah Kabupaten/Kota Kepada Pemerintah Desa"
"5.4.02","Belanja Bantuan Keuangan"
"5.4.02.01","Belanja Bantuan Keuangan antar Daerah Provinsi"
"5.4.02.01.002","Belanja Bantuan Keuangan Khusus antar Daerah Provinsi"
"5.4.02.01.002.00001","Belanja Bantuan Keuangan Khusus kepada Pemerintah Provinsi"
"5.4.02.03","Belanja Bantuan Keuangan Daerah Provinsi ke Kabupaten/Kota"
"5.4.02.03.002","Belanja Bantuan Keuangan Khusus Daerah Provinsi ke Kabupaten/Kota"
"5.4.02.03.002.00001","Belanja Bantuan Keuangan Khusus Daerah Provinsi ke Kabupaten/Kota"
"5.4.02.05","Belanja Bantuan Keuangan Daerah Provinsi atau Kabupaten/Kota kepada Desa"
"5.4.02.05.002","Belanja Bantuan Keuangan Khusus Daerah Provinsi atau Kabupaten/Kota kepada Desa"
"5.4.02.05.002.00002","Belanja Bantuan Keuangan Khusus Provinsi kepada Desa"
"5.4.02.05.002.00004","Belanja Bantuan Keuangan Khusus Kabupaten/Kota kepada Desa yang bersumber dari Dana Desa"
"5.4.02.05.002.00005","Belanja Bantuan Keuangan Khusus Kabupaten/Kota kepada Desa yang bersumber dari Alokasi Dana Desa"
"6","PEMBIAYAAN DAERAH"
"6.1","PENERIMAAN PEMBIAYAAN"
"6.1.01","Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya"
"6.1.01.05","Penghematan Belanja"
"6.1.01.05.001","Penghematan Belanja-Belanja Operasi"
"6.1.01.05.001.00001","Penghematan Belanja Pegawai-Gaji dan Tunjangan ASN"
"6.1.01.05.001.00010","Penghematan Belanja Barang dan Jasa-Perjalanan Dinas"
"","Pembiayaan Netto"
"6.3","Sisa Lebih Pembiayaan Anggaran Daerah Tahun Berkenaan (SILPA)"
